GRUPO;CONSULTA_PORTAL;TIPO_CONSULTA;FILTRO;CAMPO_PORTAL;MIGALHA;PERMITE_SELECAO;PERMITE_CLIQUE;POSSUI_TOOLTIP;TOOLTIP_DESCRICAO_PORTAL;OBSERVACAO;CAMPO_DERIVADO;ORIGEM_DADOS;CAMPO_ORIGEM_DADOS;DIMENSAO_ORIGEM_DADOS;TOOLTIP_ORIGEM_DADOS
Eventos Extraordinários;acordo judicial de reparação da vale;Pesquisa Básica;;Ano;Página Inicial / Por Execução ;sim;não;não;;-;não;armazém SIAFI;Ano de exercício;Período Contábil ;Ano de exercício do Orçamento Fiscal (Formato AAAA)
Eventos Extraordinários;acordo judicial de reparação da vale;Pesquisa Básica;;Inicio/Fim;Página Inicial / Por Execução ;sim;não;não;;-;não;armazém SIAFI;Mês - Númerico;Período Contábil ;Mês numérico de registro do documento SIAFI (0 a 14)
Eventos Extraordinários;acordo judicial de reparação da vale;Pesquisa Básica;Por Projeto;Código Projeto;Página Inicial / Por Projeto ;não;sim;sim;;;;;;;
Eventos Extraordinários;acordo judicial de reparação da vale;Pesquisa Básica;Por Projeto;Projeto;Página Inicial / Por Projeto ;não;não;sim;;;;;;;
Eventos Extraordinários;acordo judicial de reparação da vale;Pesquisa Básica;Por Projeto;Anexo;Página Inicial / Por Projeto ;não;não;sim;;;;;;;
Eventos Extraordinários;acordo judicial de reparação da vale;Pesquisa Básica;Por Projeto;Valor do Projeto;Página Inicial / Por Projeto ;não;não;sim;;;;;;;
Eventos Extraordinários;acordo judicial de reparação da vale;Pesquisa Básica;Por Projeto;Empenho;Página Inicial / Por Projeto / Empenho;não;sim;sim;;-;não;armazém SIAFI;Número Empenho;Execução Orçamentária da Despesa >> Despesa Realizada >> Dados do Empenho - Despesa;Número do documento de empenho
Eventos Extraordinários;acordo judicial de reparação da vale;Pesquisa Básica;Por Projeto;Ano;Página Inicial / Por Projeto / Empenho;não;não;sim;;-;não;armazém SIAFI;Ano de exercício;Período Contábil ;Ano de exercício do Orçamento Fiscal (Formato AAAA)
Eventos Extraordinários;acordo judicial de reparação da vale;Pesquisa Básica;Por Projeto;Data de Registro do Empenho;Página Inicial / Por Projeto / Empenho;não;não;sim;;-;não;armazém SIAFI;Data Registro Doc Empenho;Execução Orçamentária da Despesa >> Despesa Realizada >> Dados do Empenho - Despesa;Data completa de registro do documento de empenho (Formato DD/MM/AAAA)
Eventos Extraordinários;acordo judicial de reparação da vale;Pesquisa Básica;Por Projeto;Código Órgão;Página Inicial / Por Projeto / Empenho;não;não;sim;;-;não;armazém SIAFI;Unidade Orçamentária - código;Unidade Orçamentária;Código representativo da Unidade Orçamentária (4 dígitos) 
Eventos Extraordinários;acordo judicial de reparação da vale;Pesquisa Básica;Por Projeto;Órgão;Página Inicial / Por Projeto / Empenho;não;não;sim;;-;não;armazém SIAFI;Unidade Orçamentária - nome;Unidade Orçamentária;Nome completo da Unidade Orçamentária
Eventos Extraordinários;acordo judicial de reparação da vale;Pesquisa Básica;Por Projeto;CNPJ/CPF Favorecido;Página Inicial / Por Projeto / Empenho;não;não;sim;;-;não;armazém SIAFI;CNPJ_CPF credor númerico;Execução Orçamentária da Despesa >> Despesa Realizada >> Credor - Despesa;"Descrição da categoria econômica da despesa: Despesas Correntes; Despesas de Capital"
Eventos Extraordinários;acordo judicial de reparação da vale;Pesquisa Básica;Por Projeto;Favorecido;Página Inicial / Por Projeto / Empenho;não;não;sim;;-;não;armazém SIAFI;Razão Social Credor;Execução Orçamentária da Despesa >> Despesa Realizada >> Credor - Despesa;"Descrição da categoria econômica da despesa: Despesas Correntes; Despesas de Capital"
Eventos Extraordinários;acordo judicial de reparação da vale;Pesquisa Básica;Por Projeto;Valor Empenhado;Página Inicial / Por Projeto / Empenho;não;não;sim;;-;não;armazém SIAFI;Valor despesa empenhada;Execução Orçamentária da Despesa >> Despesa Realizada ;"Descrição da categoria econômica da despesa: Despesas Correntes; Despesas de Capital"
Eventos Extraordinários;acordo judicial de reparação da vale;Pesquisa Básica;Por Projeto;Valor Liquidado;Página Inicial / Por Projeto / Empenho;não;não;sim;;-;não;armazém SIAFI;Valor despesa liquidada;Execução Orçamentária da Despesa >> Despesa Realizada ;Valor total da despesa liquiada, em reais, resultante da expresão: (Valor liquidado bruto - Valor anulado de saldo liquidado) + Valor apropriado da despesa - Valor anulado de retenção - Valor anulado de multa - Valor anulado da despesa orçamentária
Eventos Extraordinários;acordo judicial de reparação da vale;Pesquisa Básica;Por Projeto;Valor Pago ;Página Inicial / Por Projeto / Empenho;não;não;sim;;-;não;armazém SIAFI;Valor Pago Financeiro;Execução Orçamentária da Despesa >> Despesa Realizada ;Valor referente aos pagamentos efetuados atravpes de movimentárias bancárias, escriturais e apropriação contábil da despesa
Eventos Extraordinários;acordo judicial de reparação da vale;Pesquisa Básica;Por Projeto;Valor Liquidado RP;Página Inicial / Por Projeto / Empenho;não;não;sim;;;;;;;
Eventos Extraordinários;acordo judicial de reparação da vale;Pesquisa Básica;Por Projeto;Valor Pago RP;Página Inicial / Por Projeto / Empenho;não;não;sim;;;;;;;
Eventos Extraordinários;acordo judicial de reparação da vale;Pesquisa Básica;Por Projeto;Valor Total Pago;Página Inicial / Por Projeto / Empenho;não;não;sim;;;;;;;
Eventos Extraordinários;acordo judicial de reparação da vale;Formulário de Detalhamento;Classificação;Código do Projeto;Página Inicial / Por Projeto / Empenho /Classificação Orçamentária;;;;;;;;;;
Eventos Extraordinários;acordo judicial de reparação da vale;Formulário de Detalhamento;Classificação;Número do empenho;Página Inicial / Por Projeto / Empenho /Classificação Orçamentária;não;não;não;;-;não;armazém SIAFI;Número Empenho;Execução Orçamentária da Despesa >> Despesa Realizada >> Dados do Empenho - Despesa;Número do documento de empenho
Eventos Extraordinários;acordo judicial de reparação da vale;Formulário de Detalhamento;Classificação;Data do registro;Página Inicial / Por Projeto / Empenho /Classificação Orçamentária;não;não;não;;-;não;armazém SIAFI;Data Registro Doc Empenho;Execução Orçamentária da Despesa >> Despesa Realizada >> Dados do Empenho - Despesa;Data completa de registro do documento de empenho (Formato DD/MM/AAAA)
Eventos Extraordinários;acordo judicial de reparação da vale;Formulário de Detalhamento;Classificação;Unidade Orçamentária;Página Inicial / Por Projeto / Empenho /Classificação Orçamentária;não;não;não;;-;sim;armazém SIAFI;Unidade Orçamentária - Código / Unidade Orçamentária - Nome;Unidade Orçamentária;Código representativo da Unidade Orçamentária (4 dígitos) / Nome completo da Unidade Orçamentária
Eventos Extraordinários;acordo judicial de reparação da vale;Formulário de Detalhamento;Classificação;Unidade Executora;Página Inicial / Por Projeto / Empenho /Classificação Orçamentária;não;não;não;;-;sim;armazém SIAFI;Unidade Executora - Código / Unidade Executora - Nome;Unidade Executora;Código (7 dígitos) composto do órgão executor (4 dígitos) e número sequencial da unidade executora (3 dígitos) / Nome resumido ou sigla da unidade executora
Eventos Extraordinários;acordo judicial de reparação da vale;Formulário de Detalhamento;Classificação;Função;Página Inicial / Por Projeto / Empenho /Classificação Orçamentária;não;não;não;;-;sim;armazém SIAFI;Função - Código / Função - Descrição;Execução Orçamentária da Despesa >> Despesa Realizada >> Programa de Trabalho - Despesa;Código identificador do nível máximo de agregação das ações do Governo (1 a 99) +  Descrição do nível máximo de agregação das ações do Governo
Eventos Extraordinários;acordo judicial de reparação da vale;Formulário de Detalhamento;Classificação;Subfunção;Página Inicial / Por Projeto / Empenho /Classificação Orçamentária;não;não;não;;-;sim;armazém SIAFI;Subfunção - Código / Subfunção - Descrição;Execução Orçamentária da Despesa >> Despesa Realizada >> Programa de Trabalho - Despesa;Código identificador do detalhamento das áreas de atuação do Governo (1 a 999) / Descrição do detalhamento das áreas de atuação do Governo
Eventos Extraordinários;acordo judicial de reparação da vale;Formulário de Detalhamento;Classificação;Programa;Página Inicial / Por Projeto / Empenho /Classificação Orçamentária;não;não;não;;-;sim;armazém SIAFI;Programa - Código / Programa - Descrição;Execução Orçamentária da Despesa >> Despesa Realizada >> Programa de Trabalho - Despesa;Código identificador do objetivo concreto, bem ou serviço que se quer atingir (1 a 999) / Descrição do objetivo concreto, bem ou serviço que se quer atingir
Eventos Extraordinários;acordo judicial de reparação da vale;Formulário de Detalhamento;Classificação;Ação;Página Inicial / Por Projeto / Empenho /Classificação Orçamentária;não;não;não;;-;sim;armazém SIAFI;Projeto Atividade - Código / Projeto Atividade - Descrição;Execução Orçamentária da Despesa >> Despesa Realizada >> Programa de Trabalho - Despesa;Código identificador do conjunto de operações, limitadas no tempo (projeto) ou realizadas de modo contínuo e permamente (atividade) dos quais resulta um produto final (projeto) ou necessárias à manutenção da ação governamental (atividade) (4 dígitos) / Descrição do conjunto de operações, limitadas no tempo (projeto) ou realizadas de modo contínuo e permamente (atividade) dos quais resulta um produto final (projeto) ou necessárias à manutenção da ação governamental (atividade)
Eventos Extraordinários;acordo judicial de reparação da vale;Formulário de Detalhamento;Classificação;Categoria Econômica;Página Inicial / Por Projeto / Empenho /Classificação Orçamentária;não;não;não;;-;sim;armazém SIAFI;Categoria Econômica Despesa - Código / Categoria Econômica Despesa -Descrição;Execução Orçamentária da Despesa >> Despesa Realizada >> Natureza da Despesa Realizada;"Código da categoria econômica da despesa: 3 - Despesas Correntes; 4 - Despesas de Capital / Descrição da categoria econômica da despesa: Despesas Correntes; Despesas de Capital"
