GRUPO;CONSULTA_PORTAL;TIPO_CONSULTA;FILTRO;CAMPO_PORTAL;MIGALHA;PERMITE_SELECAO;PERMITE_CLIQUE;POSSUI_TOOLTIP;TOOLTIP_DESCRICAO_PORTAL;OBSERVACAO;CAMPO_DERIVADO;ORIGEM_DADOS;CAMPO_ORIGEM_DADOS;DIMENSAO_ORIGEM_DADOS;TOOLTIP_ORIGEM_DADOS
Pessoal;viagens;pesquisa básica;;Ano;;sim;não;não;;-;;;;;
Pessoal;viagens;pesquisa básica;;início/fim;;sim;não;não;;-;;;;;
Pessoal;viagens;pesquisa básica;Órgão;Órgão;;não;sim;sim;Nome da unidade orçamentária que executou a despesa.;-;;;;;
Pessoal;viagens;pesquisa básica;Órgão;Cargo;;não;não;sim;Cargo público ocupado pelo servidor que realizou a viagem.;-;;;;;
Pessoal;viagens;pesquisa básica;Órgão;Favorecido ;;não;sim;sim;servidor público ou colaborador eventual que realizou a viagem a trabalho.;-;;;;;
Pessoal;viagens;pesquisa básica;Órgão;CPF;;não;não;sim;Número de identificação do Cadastro de Pessoas Físicas.;-;;;;;
Pessoal;viagens;pesquisa básica;Órgão;Número de Documento De Viagem;;não;sim;sim;Número de identificação do documento de viagem no Sistema de Concessão Diárias e Passagens (SCDP).;-;;;;;
Pessoal;viagens;pesquisa básica;Órgão;Município De Origem;;não;não;sim;Cidade de partida do servidor ou colaborador eventual em viagem a trabalho. Uma viagem com vários trechos pode ter mais de um município de origem.;-;;;;;
Pessoal;viagens;pesquisa básica;Órgão;Município De Destino;;não;não;sim;Cidade de destino do servidor ou colaborador eventual em viagem a trabalho. Uma viagem com vários trechos pode ter mais de um município de destino.;-;;;;;
Pessoal;viagens;pesquisa básica;Órgão;Quantidade De Diárias;;não;não;sim;Quantidade de diárias pagas pelo órgão em razão das viagens a trabalho. A diária é uma quantia de dinheiro paga ao servidor público ou colaborador eventual para custear suas despesas com alimentação, estadia e deslocamento durante a viagem. Os valores unitários das diárias foram definidos pelo Decreto nº 47.045/16.;-;;;;;
Pessoal;viagens;pesquisa básica;Órgão;Quantidade De Viagens;;não;não;sim;Quantidade de viagens a trabalho realizadas por servidor público ou colaborador eventual.;-;;;;;
Pessoal;viagens;pesquisa básica;Órgão;Valor Pago Diárias;;não;não;sim;Valor pago pelo órgão ao servidor público ou colaborador eventual para custear suas despesas com alimentação, estadia e deslocamento durante a viagem a trabalho. É definido com base nas regras e valores constantes no Decreto nº 47.045/16.;-;;;;;
Pessoal;viagens;pesquisa básica;Órgão;Valor Pago Passagens;;não;não;sim;Valor pago referente às despesas com passagens aéreas e terrestres de servidor público ou colaborador eventual em razão de viagem a trabalho.;-;;;;;
Pessoal;viagens;pesquisa básica;Órgão;Valor Total;;não;não;sim;Somatório dos valores pagos referente às despesas com diárias e passagens aéreas e terrestres de servidor público ou colaborador eventual em razão de viagem a trabalho.;-;;;;;
Pessoal;viagens;pesquisa básica;Destino;Município;;não;sim;sim;Cidade de destino do servidor ou colaborador eventual em viagem a trabalho. Uma viagem com vários trechos pode ter mais de um município de destino.;-;;;;;
Pessoal;viagens;pesquisa básica;Destino;Estado;;não;não;sim;Estado ao qual pertence o município de destino do servidor ou colaborador eventual em viagem a trabalho.;-;;;;;
Pessoal;viagens;pesquisa básica;Destino;País;;não;não;sim;País ao qual pertence o município de destino do servidor ou colaborador eventual em viagem a trabalho;-;;;;;
Pessoal;viagens;pesquisa básica;Destino;Quantidade De Viagens;;não;não;sim;Quantidade de viagens a trabalho realizadas por servidor público ou colaborador eventual.;-;;;;;
Pessoal;viagens;pesquisa básica;Destino;Favorecido ;;não;sim;sim;servidor público ou colaborador eventual que realizou a viagem a trabalho.;-;;;;;
Pessoal;viagens;pesquisa básica;Destino;CPF;;não;não;sim;Número de identificação do Cadastro de Pessoas Físicas.;-;;;;;
